 me ,,,,,,
Uploaded,Line,What song is it from?,Which album? ,Website urls,Decade,Year
17,"I got no deeds to do, no promises to keep. I’m dappled and drowsy and ready to sleep, Let the morning time drop all its petals on me, Life, I love you",59th Street Bridge Song (Feelin' Groovy),"Paul Simon on Parsley, Sage, Rosemary and Thyme",https://www.youtube.com/watch?v=mWBvcJAXwu4#t=1m05s,1960s,1966
15,"Hang on to your hopes, my friend. That’s an easy thing to say. But if your hopes should pass away, simply pretend that you can build them again.",A hazy shade of winter,Paul Simon,https://www.youtube.com/watch?v=bnZdlhUDEJo#t=0m56s,1960s,1968
18,"I just walk in the middle of the road and I sleep in the middle of the bed. I stop in the middle of a sentence and the voice in the middle of my head said, ""Hey, Junior, where you been so long. Don’t you know me.""",Ace in the Hole,Paul Simon on One-Trick Pony,https://www.youtube.com/watch?v=vM-MtIztspI#t=1m41s,1980s,1980
16,"I don’t know a soul who’s not been battered, I don’t have a friend who feels at ease, I don’t know a dream that’s not been shattered or driven to its knees. Oh, but it’s alright, it’s alright.",TRIPLE FEATURE American Tune,Paul Simon on There Goes Rhymin' Simon and with Rhiannon Giddens and by Allen Touissant,https://www.youtube.com/watch?v=AE3kKUEY5WU#t=0m55s https://youtu.be/wEivUgsbwOs?t=4897. https://youtu.be/u6Mv0X-1qLA?si=RuIEMxHv_mi0kge5&t=67,1970s,1973
14,"Voices leaking from a sad café, smiling faces trying to understand. I saw a shadow touch a shadow’s hand.",Bleecker Street,Paul Simon,https://www.youtube.com/watch?v=UgNx-fPHNYM#t=0m37s,1960s,1964
20,Never been lonely. Never been lied to. Never had to scuffle in fear. Nothing denied to. Born at the instant the church bells chime and the whole world whispering.,Born at the right time,Paul Simon on Rhythm of the Saints,https://www.youtube.com/watch?v=9ypNNxuPnSw#t=0m44s,1990s,1990
19,"When you’re down and out, when you’re on the street, when evening falls so hard, I will comfort you. I’ll take your part when darkness comes and the pain is all around.",DOUBLE FEATURE Bridge over troubled waters,Paul Simon Bridge over troubled waters and by Aretha Franklin,https://youtu.be/q-XCmb6t6Zw?t=102. https://youtu.be/5-7ublizwZ0?si=eKuAtq1lwJQFf-YU&t=115,1970s,1970
13,"People are strangers
They change with the curve
From time zone to time zone
As we can observe
They shut down their borders
And think they’re immune
They stand on their differences
And shoot at the moon",Cars are cars,Paul Simon,https://www.youtube.com/watch?v=aMyyZb7nebM#t=0m55s,1980s,
45,"On Christmas morning Frank awakes To find Lorraine has made a stack of pancakes. They watch the television, husband and wife. All afternoon, It’s a Wonderful Life What–you don’t love me anymore? What–you’re walking out door? What–you don’t like the way I chew? Hey, let me tell you, You’re not the woman that I wed, Gimme my robe, I’m going back to bed",Darling Lorraine,Paul Simon on You're the One,https://www.youtube.com/watch?v=U5eNT6lzzVU#t=3m48s,2000s,2000
21,"Couple in the next room bound to win a prize.  They’ve been going at it all night long. Well, I’m trying to get some sleep but these motel walls are cheap.",Duncan,Paul Simon on Paul Simon,https://www.youtube.com/watch?v=u3_UddjEGMA#t=0m17s,1970s,1972
49,"Holes in my confidence. Holes in the knees of my jeans. I was left without a penny in my pocket. Oo-we, I was about as destituted as a kid could be and I wished I wore a ring so I could hock, I’d like to hock it.",Duncan,Paul Simon,https://www.youtube.com/watch?v=u3_UddjEGMA#t=1m30s,1970s,
11,"I’d rather be a hammer than a nail. Yes, I would, if I only could. I surely would. I’d rather be a forest than a street, yes, I would, if I could. I surely would. I’d rather sail away like a swan that’s here and gone. A man gets tied up to the ground. He gives the world its saddest sound, its saddest sound.",El Condor Pasa,Paul Simon,https://www.youtube.com/watch?v=QqJvqMeaDtU#t=1m36s,1970s,
22,"No matter if you’re born to play the king or pawn, for the line is thinly drawn ‘tween joy and sorrow. So my fantasy becomes reality adnd I must be what I must be and face tomorrow.",Flowers never bend with the rainfall,"Paul Simon on Parsley, Sage, Rosemary and Thyme",https://youtu.be/Fd-DvSTBq1o?t=79,1960s,1966
3,"Through the corridors of sleep
Past shadows, dark and deep
My mind dances and leaps in confusion
I don’t know what is real
I can’t touch what I feel
And I hide behind the shield of my illusion",Flowers never bend with the rainfall,Paul Simon,https://www.youtube.com/watch?v=MkXtiblS834#t=0m05s,1960s,
47,"Once in a while, from out of nowhere
When you don’t expect it, and you’re unprepare, Somebody will come and lift you higher And your burdens will be shared Yes I do believe, if I hadn't met you
I might still be sinking fast
I've had a long streak of bad luck   ",Gone at last,Paul Simon from Still Crazy After All These Years (with Phoebe Snow and Jessie Dixon Singers),https://youtu.be/r5eotQ_J3ms?t=123,1970s,1975
46,"The night was black, the roads were icy, Snow was fallin’, drifts were high
And I was weary from my driving
And I stopped to rest for awhile
I sat down at a truck stop
I was thinking about my past
I’ve had a long streak of that bad luck",Gone at last,Paul Simon,https://www.youtube.com/watch?v=wT_zVoA6mYE#t=0m20s,1970s,1975
12,"She comes back to tell me she's gone
As if I didn't know that
As if I didn't know my own bed
As if I'd never noticed
The way she brushed her hair from her forehead
And she said, ""losing love
Is like a window in your heart
Everybody sees you're blown apart
Everybody sees the wind blow""",Graceland,Paul Simon on Graceland,https://youtu.be/0VTcBO4q5kY?t=91,1980s,1986
44,"Maybe I’m laughing my way to disaster, Maybe my race has been run, Maybe I’m blind To the fate of mankind. But what can be done ?So God bless the goods we was given And God bless the U. S. of A. And God bless the standard of livin’ Let’s keep it that way",Have a good time,Paul Simon,https://www.youtube.com/watch?v=UtEm14zt3Ug#t=1m49s,1970s,1975
51,"Freedom rider. They cursed my brother to his face. “Go home, outsider. This town is gonna be your buryin’ place."" He was singin’ on his knees, an angry mob trailed along. They shot my brother because he hated what was wrong.",He was my brother,Paul Simon,https://www.youtube.com/watch?v=daPpeLKdGSw#t=0m54s,1960s,
,"On a tour of one-night stands
My suitcase and guitar in hand
And every stop is neatly planned
For a poet and a one-man band",Homeward bound,"Paul Simon on Parsley, Sage, Rosemary and Thyme",https://youtu.be/VufDTNVng_o?t=15,1960s,1966
23,"Tonight I’ll sing my songs again
I’ll play the game and pretend
But all my words come back to me
In shades of mediocrity
Like emptiness in harmony
I need someone to comfort me",Homeward bound,Paul Simon,https://youtu.be/m0oJ8_VTu3c?t=108,1960s,1966
43,"I have my books And my poetry to protect me, I am shielded in my armor, Hiding in my room, Safe within my womb, I touch no one and no one touches me",I am a rock,Paul Simon Simon & Garfunkel on Sounds of  Silence,https://www.youtube.com/watch?v=JKlSVNxLB-A#t=1m58s,1960s,1965
9,"I’ve built walls, A fortress, steep and mighty, That none may penetrate
I have no need of friendship
Friendship causes pain.
It’s laughter and it’s loving I disdain.",I am a rock,Paul Simon Simon & Garfunkel on Sounds of  Silence,https://www.youtube.com/watch?v=JKlSVNxLB-A#t=0m44s,1960s,1965
44,"A song I was writing is left undone
I don’t know why I spend my time
Writing songs I can’t believe
With words that tear and strain to rhyme",Kathy’s song,Paul Simon on Sounds of Silence,https://www.youtube.com/watch?v=fXZyDtzDJMY#t=1m32s,1960s,1966
24,"When I think back On all the crap I learned in high school, It’s a wonder
I can think at all, And though my lack of education Hasn’t hurt me none
I can read the writing on the wall",Kodachrome,Paul Simon on There Goes Rhymin' Simon ,https://www.youtube.com/watch?v=Np_66D-KrK8#t=0m13s,1970s,1973
7,"I learned to play some lead guitar
I was underage in this funky bar
And I stepped outside to smoke myself a “J”
And when I came back to the room
Everybody just seemed to move
And I turned my amp up loud and began to play",Late in the evening,Paul Simon on One Trick Pony,https://youtu.be/tlZNPhYdpTE?t=82,1980s,1980
25,"If I was President, The minute the Congress called my name, I’d say “now who do . . .Who do you think you’re fooling?” I’ve got the presidential seal, I’m up on the presidential podium, My mama loves me, she loves me, She get down on her knees and hug me",Loves me like a rock,Paul Simon on  There Goes Rhymin' Simon,https://www.youtube.com/watch?v=9i3JXGtC_os#t=1m27s,1970s,1973
26,"I can’t for the life of me
Remember a sadder day
I know they say let it be
But it just don’t work out that way
And the course of a lifetime runs
Over and over again",Mother and child reunion,"Paul Simon w/  The Jessy Dixon Singers, Los Incas on Paul Simon",https://www.youtube.com/watch?v=L0BUsDf0dxY#t=0m38s,1970s,1972
41,"And after it rains
There’s a rainbow
And all of the colors are black
It’s not that the colors aren’t there
It’s just imagination they lack",My little town,Paul Simon Simon and Garfunkel on Old Friends,https://www.youtube.com/watch?v=X1_CNl6w2Tk#t=1m18s,1970s,1997
28,"Sonny sits by the window and thinks to himself; How it's strange that some roots are like cages
Sonny's yearbook from high school is down on the shelf and he idle thumbs through the pages. Some have died; Some have fled from themselves or struggled from here to get there
Sonny wanders beyond his interior walls, runs his hands through his thinning brown hair
I'm accustomed to a smoother ride or maybe I'm a dog who's lost its bite. I don't expect to be treated like a fool no more.
I don't expect to sleep the night
Some people say a lie is just a lie
But I say the cross is in the ballpark.",Obvious Child,Paul Simon on The Rhythm of the Saints,https://www.youtube.com/watch?v=9HKNAhAxMAk#t=2m30s,1990s,1990
40,"Can you imagine us
Years from today
Sharing a park bench quietly?
How terribly strange
To be seventy",Old friends on Bookends,Paul Simon,https://www.youtube.com/watch?v=BPTOY8FrvNw#t=1m09s,1960s,1968
6,"There’s been some strange goin’s-on
And some folks have come and gone
And the elevator man don’t work no more
I heard a racket in the hall
And I thought I heard a fall
But I never opened up my door
It’s just apartment house sense
It’s like apartment house rents",One man’s ceiling is another man’s floor,Paul Simon oon There Goes Rhymin' Simon,https://www.youtube.com/watch?v=2GdegC2p8ek#t=1m05s,1970s,
28,"The night is settin’ softly
With the hush of falling leaves
Casting shivering shadows
On the houses through the trees
And the light from a streetlamp
Paints a pattern on my wall
Like the pieces of a puzzle
Or a child’s uneven scrawl...
Up a narrow flight of stairs
In a narrow little room
As I lie upon my bed
In the early evening gloom
Impaled on my wall
My eyes can dimly see
The pattern of my life
And the puzzle that is me",Patterns,"Paul Simon Simon & Garfunkel on Parsley, Sage, Rosemary and Thyme",https://www.youtube.com/watch?v=6GTmN7Fhv6o#t=0m17s,1960s,1966
29,"Court-appointed lawyer wasn’t very bright, Oh, maybe he was bright
Maybe it was just a late night
Yeah, it was just a late night
And he files some feeble appeal
And the governor says, “Forget it
It’s a done deal, It’s election, I don’t care, election. Let’s give that wolf a lethal injection...
All around the world, France and Scandinavia, Candlelight vigils, Protesting this behavior, It’s animal behavior, Animal behavior","Pigs, Sheep and Wolves",Paul Simon on You're the One,https://www.youtube.com/watch?v=tUcA2ij_piU#t=1m52s,2000s,2000
30,"Wish I was a Kellogg’s Cornflake
Floatin’ in my bowl takin’ movies,
Relaxin’ awhile, livin’ in style
Talkin’ to a raisin who occasionally plays L.A., casually glancing at his toupee.
Wish I was an English muffin ‘Bout to make the most out of a toaster, I’d ease myself down, Comin’ up brown.
I prefer boysenberry More than any ordinary jam, I’m a “Citizens for Boysenberry Jam” fan",Punky’s Dilemma,Paul Simon Simon & Garkunkle,https://www.youtube.com/watch?v=IsnlMqraDvQ#t=0m08s,1960s,1967
5,"You never cared for secrets I confide
To you I’m just an ornament, somethin’ for your pride, Always runnin’ never carin’, that’s the life you live, Stolen minutes of your time were all you had to give.",Red Rubber Ball,Paul Simon (The Cyrkle),https://www.youtube.com/watch?v=Cy0ja70jz8E#t=1m10s  https://youtu.be/EbDKN0dk54M?t=46,1960s,
38,"Tell her to find me an acre of land
(A sprinkling of leaves)
Parsley, sage, rosemary and thyme
(Washes the grave with silvery tears)
Between the salt water and the sea strands
(And polishes a gun)
Then she'll be a true love of mine",Scarborough Fair,"Paul Simon Parsley, Sage, Rosemary and Thyme and Marianne Faithful",https://youtu.be/4Ccgk8PXz64?t=89  https://youtu.be/B8ybOZ2Jp1w?t=85,1960s,
4,"I know a woman became a wife
These are the very words she uses to describe her life
She said, “A good day ain’t got no rain”
She said, “A bad day’s when I lie in bed
And think of things that might have been”",Slip Slidin' Away,Paul Simon,https://www.youtube.com/watch?v=iUODdPpnxcA#t=1m17s,1970s,
2,"She was physically forgotten, Then she slipped into my pocket With my car keys.
She said you've taken me for granted Because I please you...She makes the sign of a teaspoon
He makes the sign of a wave
The poor boy changes clothes
And puts on after-shave
To compensate for his ordinary shoes And she said honey take me dancing
But they ended up by sleeping In a doorway
By the bodegas and the lights on Upper Broadway.",Diamonds on the soles of her shoes,Paul Simon  on Graceland,https://youtu.be/-I_T3XvzPaM?t=95,1980s,1986
31,"They've got a wall in China
It's a thousand miles long
To keep out the foreigners
They made it strong
I've got a wall around me
You can't even see
It took a little time
To get to me",DOUBLE FEATURE Something So Right,The Essential Paul Simon and by Bonnie Raitt & Brad Paisley,https://www.youtube.com/watch?v=cDH36Ile1fc#t=1m40s. https://youtu.be/wEivUgsbwOs?t=2017,1970s,1973
32,"Hey songwriter, if you want to write a song about a face
Think about a photograph
That you really can't remember but you can't erase
Wash your hands in dreams and lightning,
Cut off your hair and whatever is frightening.",Song About the Moon,Paul Simon,https://www.youtube.com/watch?v=FRz_OOrJzdo#t=2m13s,1980s,
34,"I'm not the kind of man
Who tends to socialize
I seem to lean on
Old familiar ways
And I ain't no fool for love songs
That whisper in my ears...Four in the morning
Crapped out
Yawning
Longing my life away
I'll never worry
Why should I?
It's all gonna fade",Still Crazy After All These Years,Paul Simon,https://www.youtube.com/watch?v=Q5Eoax6I-O4#t=0m50s,1970s,1975
1,"When I left my home and my family
I was no more than a boy
In the company of strangers
In the quiet of the railway station
Running scared
Laying low, seeking out the poorer quarters
Where the ragged people go
Looking for the places only they would know Asking only workman's wages
I come looking for a job
But I get no offers
Just a come-on from the whores on Seventh Avenue
I do declare, there were times when I was so lonesome
I took some comfort there",DOUBLE FEATURE The Boxer,"Paul Simon on FM Broadcasts 1965-1970, vol. 2 (Live) and sung by Tricia Yearwood & Garth Brooks",https://youtu.be/l3LFML_pxlY?t=35. https://youtu.be/wEivUgsbwOs?t=665,1960s,1965
33,"Yes, we speak of things that matter with words that must be said. “Can analysis be worthwhile?” “Is the theatre really dead?” And how the room is softly faded And I only kiss your shadow, I cannot feel your hand. You’re a stranger now unto me.",The Dangling Conversation,"Paul Simon Parsley, Sage, Rosemary and Thyme
1966",https://www.youtube.com/watch?v=nntOYUODSV0#t=1m44s,1960s,1966
39,"And the people bowed and prayed To the neon god they made And the sign flashed out its warning In the words that it was forming And the sign said, “The words of the prophets Are written on subway walls And tenement halls.""",The Sound(s) of Silence,Paul Simon,https://youtu.be/iai6m7FBLDQ?t=208,1960s,1964-65
37,"This is the story of how we begin to remember, This is the powerful pulsing of love in the vein, After the dream of falling and calling your name out, These are the roots of rhythm And the roots of rhythm remain.",Under African Skies,Paul Simon,https://www.youtube.com/watch?v=a3nFdBi6gQE#t=0m45s,1980s,1986
38,"She is soft, she is warm But my heart remains heavy And I watch as her breasts gently rise, gently fall. For I know with the first light of dawn I’ll be leaving And tonight will be all I have left to recall. Oh, what have I done? Why have I done it? I've committed a crime, I've broken the law. For twenty-five dollars and pieces of silver, I held up and robbed a hard liquor store. ",Wednesday Morning 3 am,Paul Simon Sung by Simon & Garfunkel 1964,https://www.youtube.com/watch?v=gzmgJ_ZOqrE#t=0m39s,1960s,1964
35,"The riots started slowly with the homeless and the lowly
Then they spread into the heartland towns that never get a wristband
Kids that can't afford the cool brand whose anger is a short-hand
",Wristband,"Paul Simon  Stranger to Stranger
",https://youtu.be/9lJHVpH5v8Q?t=160,2010s,2016
10,"A man walks down the street, He says, “Why am I short of attention? Got a short little span of attention And, woe my nights are so long. Where’s my wife and family? What if I die here? Who’ll be my role model
Now that my role model is Gone gone?” He ducked back down the alley with some roly-poly little bat-faced girl All along along, There were incidents and accidents, There were hints and allegations.
",You Can Call Me Al,Paul Simon,https://www.youtube.com/watch?v=uq-gYOrU8bA#t=0m59s,1980s,
49,"Little sleepy boy, Do you know what time it is?
Well the hour of your bedtime's Long been past
And though I know you're fighting it
I can tell when you rub your eyes
You're fading fast, Fading fast",St. Judy’s Comet,There Goes Rhymin' Simon,https://youtu.be/n0U6Ut8YeEQ?t=9,1970s,1973
,"He freely gave to charity, he had the common touch
And they were grateful for his patronage and they thanked him very much
So my mind was filled with wonder when the evening headlines read",Richard Cory,Sounds of Silence,https://youtu.be/fAGKpoVFbmw?t=112,1960s,1966
,"Whoa, in a couple days they come and take me away
But the press let the story leak
And when the radical priest
Come to get me released
We was all on the cover of Newsweek
And I'm on my way
I don't know where I'm going
I'm on my way
I'm taking my time
But I don't know where
Goodbye to Rosie, the queen of Corona",Me and Julio Down By the Schoolyard,Paul Simon on Paul Simon and The Muppets,https://youtu.be/Z6VrKro8djw?t=120,1970s,1972
,"She said, why don't we both just sleep on it tonight?
And I believe in the morning you'll begin to see the light
And then she kissed me and I realized she probably was right",50 Ways to Leave Your Lover,on Still Crazy After All These Years,https://youtu.be/ABXtWqmArUU?t=134,1970s,1975
8,"The monkeys stand for honesty
Giraffes are insincere
And the elephants are kindly but they're dumb
Orangutans are skeptical
Of changes in their cages
And the zookeeper is very fond of rum",At The Zoo, on Bookends,https://youtu.be/6xKLBne1CoI?t=78,1960s,1968
52,"If you ever awake
In the mirror of a bad dream
And for a fraction of a second,
You can't remember where you are
Just open your window
And follow your memories
Upstream
To the meadow in the mountain
Where we counted every falling star
I believe the light that shines on you
Will shine on you forever
(Forever)
And though I can't guarantee there's nothing scary
Hidin' under your bed
I'm gonna
Stand guard
Like the postcard
Of the golden retriever
And never leave
'Til I leave you
With a sweet dream in your head",Father and Daughter,on The Wild Thornberrys Movie,https://youtu.be/COQPSoRFdwg?t=14,2000s,2002
53,"One and one-half wandering Jews
Free to wander wherever they choose
Are traveling together
In the Sangre de Christo
The Blood of Christ Mountains of New Mexico",Hearts and Bones,On Hearts and Bones,https://youtu.be/5fguH-kjkeA?t=35,1980s,1983
54,"She looked me over and I guess she thought I was all right
Well, all right in a sort of a limited way for an off-night
She said, ""Don't I know you from the cinematographer's party?""
And I said, ""Who am I to blow against the wind?""",I Know What I Know,On Graceland,https://youtu.be/DYhN4eI_588?t=31,1980s,1986
55,"In the city of my dreams
You can legalize your lows
You can wear your summer clothes, in the New Orleans
And I will lay my burden down
Rest my head upon that shore
And when I wear that starry crown
I won't be wanting anymore, wuuh",Take Me to the Mardi Gras,On There Goes Rhymin' Simon,https://youtu.be/NkaMN-T_HKw?t=41,1970s,1973
56,"I've been thinking about the great migration
Noon and night they leave the flock
And I imagine their destination
Meadow grass, jagged rock
The Lord is my engineer
The Lord is the earth I ride on
The Lord is the face in the atmosphere
The path I slip and I slide on",Seven Psalms,On Seven Psalms,https://youtu.be/ANtntuDslnk?t=32,2010s,2023
,"Fat Charlie the Archangel
Sloped into the room
He said I have no opinion about this
And I have no opinion about that
Sad as a lonely little wrinkled balloon
He said well I don't claim to be happy about this, boys
And I don't seem to be happy about that","Crazy Love, Vol. II",Graceland,https://youtu.be/SU9EucA18GE?t=25,1980s,1986
58,"Along come a young girl
She's pretty as a prayerbook
Sweet as an apple on Christmas day
I said good gracious can this be my luck
If that's my prayerbook
Lord let us pray
Well, I'm standing on the corner of Lafayette
State of Louisiana
Wondering what a city boy could do
To get her in a conversation
Drink a little red wine
Dance to the music of Clifton Chenier
The King of the Bayou",That Was Your Mother,Graceland,https://youtu.be/Dl8TkXfl9mE?t=92,1980s,1986
59,"When the papers all were signed
And a million copies made
They all joined hands and bowed their heads
And grateful prayers were prayed
And the people in the streets below
Were dancing round and round
And guns and swords and uniforms
Were scattered on the ground",Last Night I Had The Strangest Dream,Wed morning 3 am Simon & Garfunkel,https://youtu.be/NQEve-69r6I?t=53,1960s,1964
61,"Effortless music from the Cameroons
The spinning darkness of her hair
A conversation in a crowded room going nowhere
The open palm of desire
Wants everything
It wants everything
It wants everything
Sometimes I'll be walking down
The street and I'll be thinking
Am I crazy
Or is this some morbid little lie?",Further To Fly,The Rhythm of the Saints,https://youtu.be/ivL85LpLhN4?t=68,1990s,1990
60,"A cooling system
Burns out in the Ukraine
Trees and umbrellas
Protect us from the new rain
Armies of engineers
To analyze the soil
The food we contemplate
The water that we boil
I can't run but
I can walk much faster than this",Can't Run But,The Rhythm of the Saints,https://youtu.be/6bv6d4zb3og?t=42,1990s,1990
66,"Some stories are magical, meant to be sung
Songs from the mouth of the river
When the world was young
And all of these spirit voices rule the night",Spirit Voices,The Rhythm of the Saints,https://youtu.be/_bACt5D-n5w?t=58,1990s,1990
62,"Down among the reeds and rushes
A baby boy was found
His eyes as clear as centuries
His silky hair was brown
Never been lonely
Never been lied to
Never had to scuffle in fear
Nothing denied to
Born at the instant
The church bells chime
And the whole world whispering
Born at the right time",Born At The Right Time,The Essential Paul Simon,https://youtu.be/9ypNNxuPnSw?t=26,1990s,1990
65,"And I believe in the future
We shall suffer no more
Maybe not in my lifetime
But in yours I feel sure
Song dogs barking at the break of dawn
Lightning pushes the edges of a thunderstorm
And these streets
Quiet as a sleeping army
Send their battered dreams to heaven, to heaven
For the mother's restless son
Who is a witness to, who is a warrior
Who denies his urge to break and run","The Cool, Cool River",The Rhythm of the Saints,https://youtu.be/6hOYtEKRHXw?t=177,1990s,1990
64,"I feel good
It's a fine day
The way the sun hits off the runway
A cloud shifts
The plane lifts
She moves on
But feel the bite
Whenever you believe that
You'll be lost and love will find you
When the road bends
And the song ends",She Moves On,The Rhythm of the Saints,https://youtu.be/414FPXLWDVk?t=44,1990s,1990
63,"You and me were such good friends
What's your hurry
You and me could make amends
I'm not worried
I'm not worried
Honesty
Honesty
Wuh, it's such a waste of energy
Don't, don't have to lie to me
Just give me some tenderness",Tenderness,There Goes Rhymin' Simon,https://youtu.be/vVDz3TgfI0o?t=69,1970s,1973
67,"Was a sunny day
Not a cloud was in the sky
Not a negative word was heard
From the people passing by
'Twas a sunny day
All the birdies in the trees
And the radio's singing song
All the favorite melodies",Was A Sunny Day,There Goes Rhymin' Simon,https://youtu.be/BWQEhA3r2CM?t=42,https://youtu.be/-lj5RgpgfPE?t=107,1973
68,"""Kathy, I'm lost"", I said, though I knew she was sleeping
I'm empty and aching and I don't know why
Counting the cars on the New Jersey Turnpike
They've all come to look for America",America,Bookends Sung by Sting at A Grammy Salute to the Songs of Paul Simon,https://youtu.be/wEivUgsbwOs?t=1281,1960s,1968
69,"Just like The Penguins, the Moonglows
The Orioles, the Five Satins
The easy stream of laughter
Flowing through the air
Rene and Georgette Magritte
With their dog apres la guerre",Rene and Georgette Magritte with their Dog After The War,Hearts and Bones,,1980s,1983
70,"He had no friends, he seldom spoke
And no one in turn ever spoke to him
'Cause he wasn't friendly and he didn't care
And he wasn't like them
Oh, no, he was a most peculiar man",A Most Peculiar Man,Sounds of Silence. Simon & Garfunkel,https://youtu.be/N7CWpcmPkVk?t=59,1960s,1966
71,"Where have you gone, Joe DiMaggio?
Our nation turns its lonely eyes to you
Woo, woo, woo
What's that you say, Mrs. Robinson?
Joltin' Joe has left and gone away
Hey, hey, hey",DOUBLE FEATURE Mrs. Robinson,"From The Graduate, Yankee Stadium on DiMaggio Day in 1999",https://youtu.be/nkXyreJV604?t=180   https://youtu.be/07b-WtWT2BA?t=146,1960s,1968
72,"Hey, Schoolgirl in the second row
The teacher's lookin' over
So I got to whisper way down low
To say, ""Who-bop-a-loo-chi-bop, let's meet
After school at three.""","Hey, Schoolgirl",As Tom & Jerry,https://youtu.be/ATEX5lDgAhQ?si=OFfkneFWORifvzB8&t=57,1950s,1957
73,"Cloudy
My thoughts are scattered and they're cloudy
They have no borders, no boundaries
They echo and they swell
From Tolstoy to Tinker Bell
Down from Berkeley to Carmel
Got some pictures in my pocket and a lot of time to kill",Cloudy,Sung by Simon & Garfunkel Paul Simon & Bruce Woodley,https://youtu.be/545ih5ygngs?si=y6ENGLfw2NNNcXMZ&t=46,1960s,1966
74,"There were three men down
And the season lost
And the tarpaulin was rolled
Upon the winter frost",Night Game,Still Crazy After All These Years,https://youtu.be/yUSG_9VT6oM?si=SjeOflRodVBTxFgu&t=77,1970s,1975